Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Ezri Konsa,,,339.77889114335414,18814,209.0
Eñaut Mendía,10.204081632653065,,,61,0.7
Fabian Delph,,241.23450723450722,331.0952748082706,4584,51.0
Fabian Frei,,300.82397003745314,,802,8.9
Fabian Holland,,339.7712418300654,,1835,20.4
Fabian Johnson,,273.7076923076923,225.5125910013128,1748,19.4
Fabian Klos,246.4323297467353,,,4129,45.900000000000006
Fabian Kunze,,201.20466058763935,,2530,28.1
Fabian Lustenberger,,,477.9724800914044,3755,41.7
Fabian Nürnberger,,,258.2098102398854,1513,16.8
Fabian Reese,180.68707482993196,,,161,1.8
Fabian Rieder,335.64283654263164,385.9674796747968,,2460,27.4
Fabian Rüdlin,80.0,,,7,0.1
Fabian Schnellhardt,,306.1538461538462,,235,2.6
Fabian Schär,,,460.5660357519676,19579,217.5
Fabiano Parisi,,,338.86584689762435,7636,84.8
Fabien Centonze,,,434.55321486135824,10214,113.4
Fabien Lemoine,,321.52150537634407,,3051,33.9
Fabinho,,377.25558888099516,377.7244280291372,14708,163.4
Fabio Baldé,218.23275024295432,,,248,2.8
Fabio Borini,233.7713641835335,,307.3120417430914,3542,39.4
Fabio Carvalho,394.11467325356244,,,1324,14.7
Fabio Ceravolo,104.90771089580613,,,1242,13.799999999999999
Fabio Chiarodia,,,507.59687710037963,875,9.700000000000001
Fabio Depaoli,109.4142920603078,,327.8247690414687,10026,111.2
Fabio González,,246.50793650793653,,240,2.6999999999999997
Fabio Lucioni,,,429.9488013834656,3852,42.8
Fabio Miretti,327.0065927179876,347.96296296296293,,4577,50.900000000000006
Fabio Moreno Fell,82.40816326530611,,,76,0.8
Fabio Pisacane,,,422.16240490263954,6863,76.2
Fabio Quagliarella,429.96858815137426,,,12861,142.9
Fabio Torsiello,85.72769107643056,,,156,1.7
Fabio Vieira,528.1007458671933,702.0500000000002,,1528,17.0
Fabián Balbuena,,,483.4664487928624,4388,48.8
Fabián Orellana,381.5632583996502,,,8441,93.9
Fabián Ruiz Peña,,583.9646662583032,,18006,199.9
Fabrizio Angileri,,,320.624895572264,749,8.3
Fabrizio Cacciatore,,,328.13335495543976,5101,56.6
Fabrizio Caligara,,206.33333333333334,,201,2.2
Facundo Buonanotte,254.51490548661934,,,3497,38.9
Facundo Ferreyra,230.93602556671917,,,1085,12.0
Facundo Garcés,,,379.5556365661629,1218,13.5
Facundo Medina,,,343.1229496595607,12825,142.6
Facundo Pellistri,154.94524112576326,,,2682,29.799999999999997
Facundo Píriz,,167.35612535612535,,923,10.3
Facundo Roncaglia,,,402.2620579104602,5672,63.1
Fahad Al Muwallad,0.0,,,27,0.3
Faitout Maouassa,234.67565451849683,,319.4747424066544,8225,91.3
Falaye Sacko,,,326.41923004556037,5862,65.2
Fali,,,358.6599868020793,8701,96.6
Fali Candé,,,383.5777005525949,4861,54.0
Fallou Cham,,,487.6311992101466,214,2.4
Fallou Diagne,,,422.28784813439216,2238,24.9
Fallou Fall,,,441.0389610389611,32,0.4
Famara Diedhiou,408.8435374149659,,,89,1.0
Faouzi Ghoulam,,,250.0975706970692,3615,40.1
Fares Chaïbi,358.8785943494911,,,6278,69.7
Farid Boulaya,405.43130457402526,573.6666666666666,,5341,59.400000000000006
Farid El Melali,236.37618123485882,,298.64364615241806,3761,41.8
Faride Alidou,180.4932904304132,,325.4235588972431,1535,17.0
Faris Pemi Moumbagna,200.10840365290014,,,630,7.0
Farès Bahlouli,352.55539215686275,,,307,3.4
Farés Ghedjemis,113.5374149659864,,,182,2.0
Faustino Anjorin,83.59223689475789,586.1290322580645,,1283,14.299999999999999
Fayçal Fajr,192.79598765432095,476.23654786862335,,6028,67.0
Fede San Emeterio,,186.56375918559502,375.7956104252401,6037,67.1
Fede Vico,230.00128850147402,,,1643,18.2
Federico Accornero,,100.0,,5,0.1
Federico Barba,,,361.10256759355195,6023,66.9
Federico Baschirotto,,,383.4585770219892,11844,131.6
Federico Bernardeschi,339.2810114503502,,,6761,75.2
Federico Bonazzoli,297.13901086999664,,,6739,75.0
Federico Bonini,,,60.95238095238095,7,0.1
Federico Cartabia,269.862809220438,,,1324,14.7
Federico Cassa,86.11111111111111,,,14,0.2
Federico Ceccherini,,,413.12336984236754,11062,122.9
Federico Chiesa,415.4762800137246,,192.47992033956945,15393,171.20000000000002
Federico Di Francesco,293.70427057729904,,,7160,79.6
Federico Dimarco,,,259.82056491305417,13194,146.6
Federico Dionisi,479.5404383975812,,,204,2.3
Federico Fazio,,,418.30466131141736,11210,124.6
Federico Fernández,,,419.07481430273043,9472,105.2
Federico Gatti,,,333.278822543994,7057,78.4
Federico Gattoni,,,304.76190476190476,10,0.1
Federico Marigosu,27.77777777777778,,,24,0.3
Federico Mattiello,,,332.0735457076587,4503,50.0
Federico Palacios Martínez,,248.0126984126984,,942,10.5
Federico Peluso,,,375.19265238280383,5681,63.1
Federico Redondo,,,844.8148148148148,28,0.3
Federico Ricca,,,414.991408059444,1109,12.3
Federico Ricci,215.5731761223008,,,1138,12.6
Federico Santander,448.54942418621584,,,2939,32.6
Federico Valverde,350.8108525331736,481.25858394396164,,16869,187.6
Federico Viviani,,397.1406188797493,,2817,31.3
Federico Viñas,246.19730855305087,,,921,10.2
Felipe,,,443.2098168061076,9202,102.5
Felipe Anderson,367.324566956903,,,14318,159.1
Felipe Avenatti,57.10361067503925,,,468,5.2
Felipe Caicedo,444.39482011244553,,,4730,52.6
Felipe Chávez,,620.0000000000001,,8,0.1
Felipe Curcio,,,60.95238095238095,5,0.1
Felipe Vizeu,174.83333333333334,,,32,0.4
Felipe dal Belo,,,370.5696639994216,5931,65.9
Felix Afena-Gyan,186.15891760789722,,,1485,16.5
Felix Agu,,,326.5262930998891,4598,51.1
Felix Garreta,,,326.14870509607346,90,1.0
Felix Götze,,,442.7432712215321,126,1.4
Felix Klaus,324.7557474188184,,503.1824004455583,3231,35.8
Felix Kroos,,144.9206349206349,,378,4.2
Felix Mambimbi,126.94701038310065,,,340,3.8
Felix Nmecha,155.5922839506173,459.5036170810507,,5846,65.0
Felix Passlack,111.75898931000972,,324.49110808832535,4267,47.3
Fellipe Jack,,,475.16686452974534,171,1.9
Fer López,356.27059664321564,,,906,10.1
Ferdi Kadioglu,,,311.5854811903662,1990,22.1
Ferland Mendy,,,255.27177560663384,14480,160.9
Fermin López,595.7355458511844,,,3392,37.7
Fernand Mayembo,,,352.1960251607153,707,7.9
Fernandinho,,474.9773140281318,391.9108548313138,9807,108.9
Fernando,,230.4575163398693,407.58354609995047,9091,101.0
Fernando Calero,,,433.6315842092593,8785,97.6
Fernando Forestieri,585.3453403219212,,,610,6.699999999999999
Fernando Llorente,343.94973663973917,,,2198,24.4
Fernando Marçal,,255.52795031055896,391.09494916099936,5152,57.3
Fernando Medrano,,,807.7922077922078,13,0.1
Fernando Navarro,,,495.2294529427016,1046,11.6
Fernando Niño,325.2347808222443,,,1582,17.5
Fernando Torres,398.8603951264501,,,982,10.9
Ferran Jutglà,321.85304056776727,,,1028,11.399999999999999
Ferris N'Goma,487.4074074074074,,,25,0.3
Ferrán Ruiz,,146.66666666666666,,18,0.2
Ferrán Torres,461.70458384290157,,,11286,125.5
Festy Ebosele,,,277.58025397195786,2111,23.5
Fidel,320.4295530076853,557.5187969924813,,6371,70.7
Fikayo Tomori,,,461.3071875794073,13303,147.8
Filip Benković,,,164.15584415584416,8,0.1
Filip Bradarić,,267.08938317372053,,2200,24.400000000000002
Filip Helander,,,429.6376521260237,4212,46.8
Filip Jagiełło,,424.2459016393443,,586,6.5
Filip Kostić,280.5444463968449,,243.30077344200606,18253,202.9
Filip Krovinović,,325.24590163934425,,546,6.1
Filip Kusić,,,178.81673881673885,15,0.2
Filip Malbašić,101.93452380952382,,,860,9.6
Filip Marchwiński,0.0,,,15,0.2
Filip Stojilković,84.66306522609044,,,154,1.7
Filip Ugrinic,,542.5000000000001,,357,4.0
Filip Uremović,,,419.465931242247,1726,19.2
Filip Đorđević,269.6022567757262,,,634,7.0
Filip Đuričić,309.5741444082022,,,8784,97.60000000000001
Filipe Luís,,,416.76590154365,3689,41.0
Filippo Bandinelli,268.7847066783703,352.3505976095617,,4218,46.8
Filippo Costa,,,389.4814021527146,2037,22.7
Filippo Delli Carri,,,386.18626829153135,334,3.7
Filippo Falco,390.3054205809308,,,2014,22.4
Filippo Mane,,,227.92536897800056,85,0.9
Filippo Melegoni,182.97339449541283,320.9302325581395,147.55555555555554,1458,16.200000000000003
Filippo Missori,,,294.63370547581076,447,5.0
Filippo Ranocchia,,318.1228014070995,,1006,11.2
Filippo Romagna,,,375.60372701718745,5086,56.5
Filippo Terracciano,,,307.73829818190717,4438,49.3
Fin Bartels,243.51407039423958,162.22222222222223,,1484,16.6
Finley Stevens,,,345.39682539682536,15,0.2
Finn Jeltsch,,,400.16660050883536,1474,16.4
Finn Ole Becker,,321.3286955455062,,1789,19.8
Finn Porath,,,317.0677489350885,1970,21.9
Fisayo Dele-Bashiru,281.5325774754346,254.53333333333333,,1221,13.5
Fisnik Asllani,276.37297107179756,,,1142,12.7
Flavien Tait,356.1868111167944,536.9524759056166,,11278,125.3
Flavio Junior Bianchi,249.9192851743872,,,314,3.5
Flavio Paoletti,,189.37500000000003,,284,3.2
Flavius Daniliuc,,,348.60646886770223,6804,75.69999999999999
Florent Balmont,,437.8055555555556,,2337,26.1
Florent Hadergjonaj,,,274.24190426236055,3516,39.1
Florent Hanin,,,381.94207377557905,3134,34.8
Florent Mollet,344.51511437664243,481.2391857506361,,14469,160.8
Florent Muslija,295.7819111270239,,,952,10.6
Florent Ogier,,,415.19555502512895,5073,56.4
Florentin Pogba,,,236.3207682505928,321,3.6
Florentino Luís,,290.4145462745159,,2547,28.299999999999997
Florian Ayé,176.3635982170646,,,1955,21.700000000000003
Florian Chabrolle,,236.2162162162162,,347,3.9000000000000004
Florian Dietz,284.6864735793307,,,465,5.2
Florian Flick,,,359.90481184846175,872,9.7
Florian Grillitsch,,368.1405301907027,447.8265211812901,13584,151.0
Florian Hübner,,,458.1099014972522,1702,18.8
Florian Kainz,385.52641531516826,,,11195,124.3
Florian Kath,193.23330813807004,,,674,7.5
Florian Krüger,175.77739984882845,,,1129,12.5
Florian Lejeune,,,402.4467333491084,20230,224.8
Florian Mayer,,,420.31746031746025,19,0.2
Florian Micheler,,144.33333333333334,,32,0.4
Florian Miguel,,,385.9221013801579,4711,52.3
Florian Neuhaus,,499.83014910764285,,12860,142.8
Florian Niederlechner,333.00774834005955,,,8980,99.7
Florian Pick,310.88359788359793,,,327,3.6
Florian Sotoca,343.98231374064153,,,12427,138.1
Florian Tardieu,,540.9565752486075,,4893,54.3
Florian Thauvin,453.0782797485979,,,13847,153.79999999999998
Florian Wirtz,462.39752613377874,,,11660,129.6
Florin Andone,343.46905476825305,,,2766,30.8
Florinel Coman,216.68841712930384,,,263,2.9
Floyd Ayité,234.85794149945096,,,476,5.3
Flynn Downes,,195.14004430223974,,2913,32.4
Fodé Ballo-Touré,,,342.3799139167678,9622,107.0
Fodé Doucouré,378.073401973402,,479.9817774430777,1152,12.8
Fodé Sylla,,,640.4761904761906,63,0.7
Folarin Balogun,435.500990202057,,,6220,69.1
Formose Mendy,,,493.9238572622031,1391,15.5
Fouad Chafik,,,356.66100504501395,6610,73.4
Fousseni Diabaté,151.23053902299935,,,1831,20.299999999999997
Fran Beltrán,,249.4846760347904,,15575,173.1
Fran Delgado,,,49.523809523809526,12,0.1
Fran Garcia,,,301.8010047018476,10415,115.7
Fran Gámez,,,428.4432168857518,1768,19.6
Fran Manzanara,,,472.4871001031992,157,1.7
Fran Mérida,,369.38501291989667,,1427,15.9
Francesco Acerbi,,,422.5440591168128,22632,251.5
Francesco Camarda,121.23424968181916,,,859,9.6
Francesco Caputo,320.6123262846463,,,15070,167.6
Francesco Cassata,0.0,304.87864439603,273.1031214399635,3274,36.4
Francesco Coppola,,,465.9193438140806,91,1.0
Francesco Di Mariano,64.1399416909621,,,62,0.7
Francesco Di Tacchio,,175.39568345323738,,1255,13.9
Francesco Esposito,337.1504157218443,,,582,6.5
Francesco Folino,,,369.1154103968749,206,2.3
Francesco Forte,218.9157218442933,,,422,4.7
Francesco Gelli,,373.4335260115607,,1561,17.3
Francesco Magnanelli,,270.5295352320671,,6461,71.8
Francesco Migliore,,,258.7820903610377,329,3.7
Francesco Verde,0.0,,,12,0.1
Francesco Vicari,,,414.6662142781779,8083,89.8
Francesco Zampano,,,260.32690811449305,4153,46.2
Franci Bouebari,,,248.8061061745272,76,0.8
Francis Abu,,150.68965517241378,,526,5.8
Francis Coquelin,,336.62708504207563,298.4120982986768,8146,90.6
Francis Guerrero,,,350.90382521961465,2771,30.8
Francisco Conceição,337.64304883887814,,,2275,25.3
Francisco Molinero,,,421.06934001670845,579,6.4
Francisco Mwepu,34.013605442176875,,,21,0.2
Francisco Perez,147.52397728306022,,,3450,38.400000000000006
Francisco Portillo,241.06739419627823,603.1666666666669,,5970,66.3
Francisco Reis Ferreira,,,173.89321789321787,181,2.0
Francisco Sierralta,,,438.4713960020044,1557,17.3
Francisco Trincão,335.6719356719357,,,2042,22.6
Franck Evina,91.76303854875285,,,110,1.2
Franck Honorat,351.9082439193482,,168.2836837827763,13263,147.4
Franck Kessié,277.8031789759063,398.2684453661888,,15710,174.5
Franck Ribéry,381.89252469020255,175.00000000000003,,7393,82.2
Franck Tabanou,,,458.94252873563215,1228,13.6
Franco Carboni,,,339.099332747453,292,3.2
Franco Cervi,192.19691987906276,579.5628415300547,,4514,50.1
Franco Di Santo,124.29595849367045,,,2071,23.0
Franco Mastantuono,268.7818984224514,,,562,6.2
Franco Russo,,,458.75819288880314,1609,17.900000000000002
Franco Vázquez,389.46928401841797,449.19533899220284,,5904,65.5
Franco Zuculini,,337.2972972972973,,329,3.7
Frank Magri,294.98509303327893,,,4126,45.8
Frank Onyeka,29.629629629629633,360.9879216575246,,5757,63.9
Frank Ronstadt,,,334.8287385129491,76,0.8
Frank Tsadjout,251.8454658216563,,,1051,11.7
Franklin Wadja,,100.0,,33,0.4
Frans Krätzig,,,286.7193948207593,1329,14.7
Fransérgio,,259.8095238095238,,1258,14.0
François Bellugou,,156.39118457300273,,2177,24.2
François Kamano,400.1981891614903,,172.0152232432934,5223,58.1
François Moubandje,,,340.51501996449633,3634,40.4
François Mughe,67.16388888888889,,,188,2.1
Fraser Hornby,154.9306355020641,,,602,6.699999999999999
Fred,,449.8539509783583,,8871,98.60000000000001
Fred Onyedinma,,,229.39908694294655,407,4.5
Freddie Ladapo,47.61904761904761,,,17,0.2
Freddie Potts,,307.4691358024691,,972,10.8
Freddie Veseli,,,314.2683937634564,3135,34.8
Frederic Guilbert,,,451.48360567135745,18213,202.5
Frederik Sørensen,,,389.10374489321856,2100,23.3
Frederik Winther,,,431.4148671341653,418,4.6
Fredrik André Bjørkan,,,442.8010196431249,353,3.9
Fredrik Jensen,195.52570243096085,,,4484,49.9
Fredrik Oppegard,,,339.0594427386407,843,9.3
Frenkie de Jong,,565.0894127349699,,14101,156.7
Frédéric Sammaritano,261.19869359096924,,,3615,40.3
Fynn Schenten,110.7871720116618,,,61,0.7
Fyodor Smolov,230.33697602200175,,,743,8.3
Fábio,,,402.9657542525647,5508,61.2
Fábio Cardoso,,,393.12599681020737,217,2.4
Fábio Silva,312.5407263087112,,,4225,46.9
Félix Correia,241.9440177073336,,,1076,12.0
Félix Eboa Eboa,,,451.1828940456921,3950,43.9
Félix Lemaréchal,248.2269323526268,100.0,,2620,29.1
Féthi Harek,,,279.31677679046095,177,2.0
Gabi,,342.52873563218395,,2349,26.1
Gabin Capuano,0.0,,,11,0.1
Gabriel,,376.540404040404,,2377,26.4
Gabriel Bares,,196.66666666666669,,56,0.6
Gabriel Boschilia,246.96436755604236,,,1531,17.0
Gabriel Charpentier,565.3667170571933,,,271,3.0
Gabriel Fernández,192.86791992782773,,,561,6.2
Gabriel Gudmundsson,,,312.95722215175255,6974,77.4
Gabriel Jesus,533.0030917574306,,,12946,143.9
Gabriel Magalhães,,,381.6392815579125,18378,204.2
Gabriel Martinelli,392.8989114733132,,,10720,119.1
Gabriel Mercado,,,407.70307866458114,3856,42.8
Gabriel Moscardo,,157.77777777777777,,84,0.9
Gabriel Osei Misehouy,352.7063622383819,,,257,2.9
Gabriel Osho,,,417.99884630042214,3634,40.4
Gabriel Paulista,,,441.1912194531782,15623,173.5
Gabriel Peñalba,,146.34920634920633,,570,6.3
Gabriel Silva,,,330.15631513669297,4805,53.400000000000006
Gabriel Strefezza,300.08840730261494,,270.8670406916021,8283,92.0
Gabriel Suazo,,,362.3485783817242,6768,75.2
Gabriel Veiga,168.79054685901954,355.0,,2538,28.2
Gabriel Vidovic,182.90249433106575,,,79,0.9
Gabriele Angella,,,513.1934212635965,893,9.9
Gabriele Corbo,,,288.2767524872789,127,1.5
Gabriele Moncini,118.3671802054155,,,519,5.8
Gabriele Piccinini,151.16867816091954,,,518,5.8
Gabriele Zappa,,,293.9403832152472,10389,115.5
Gaby Jean,,,341.42065119508726,1388,15.4
Gaetano Berardi,,,358.1363665574191,113,1.3
Gaetano Castrovilli,273.2930149579232,394.0265151515151,,8225,91.39999999999999
Gaetano Letizia,,,328.9327055686158,3711,41.2
Gaetano Oristanio,208.87899083303094,,,3900,43.3
Gaku Shibasaki,124.40605198221479,,,1391,15.399999999999999
Ganso,,563.2758620689657,,1039,11.6
Gaoussou Traoré,,115.0,,107,1.2
Gareth Bale,514.3995907753518,,,5874,65.2
Gareth Barry,,326.23052959501564,,1923,21.4
Gareth McAuley,,,440.0983444946294,458,5.1
Gary Cahill,,,311.0183553468814,6077,67.6
Gary Madine,47.61904761904761,,,37,0.4
Gary Medel,,224.57912457912457,408.0833018014523,6596,73.3
Gastón Brugman,,396.72016460905354,,3074,34.2
Gastón Pereiro,412.22524948255074,,,1626,18.0
Gastón Ramírez,378.32954991442335,,,6153,68.4
Gastón Silva,,,437.00794274242816,600,6.7
Gastón Álvarez,,,338.5015191536975,4038,44.9
Gauthier Hein,177.31070447409735,736.9739952718677,,3225,35.8
Gautier Lloris,,,420.0771970484358,7199,80.1
Gavi,244.0942772922482,541.3525733525734,,6943,77.1
Gaël Kakuta,286.6480566238054,,,9890,109.9
Gaëtan Belaud,,,411.39515455304934,580,6.4
Gaëtan Bong,,,266.85918339992133,4103,45.6
Gaëtan Bussmann,,,232.43441938178785,90,1.0
Gaëtan Charbonnier,336.6946044532203,,,3889,43.099999999999994
Gaëtan Laborde,402.0683966490467,,,18995,211.10000000000002
Gaëtan Paquiez,,,375.36530231523284,3905,43.4
Gaëtan Perrin,420.2700329610393,,,4082,45.4
Gedeon Kalulu,,,354.896767681127,3408,37.900000000000006
Gedson Fernandes,223.26944444444447,,,68,0.8
Gelabert,303.7232426303855,,,754,8.4
Gelson Fernandes,,131.7349203815065,,4036,44.8
Gelson Martins,253.67461330143692,,213.96142686465268,7093,78.7
Gen Shoji,,,371.6925647451963,1665,18.5
Genki Haraguchi,105.88583259390714,407.1779555790658,,5372,59.6
Gennaro Acampora,105.02446592672156,,,441,4.9
Gennaro Borrelli,144.43990929705214,,,980,10.9
Gennaro Tutino,70.61224489795917,,,225,2.5
Geoff Cameron,,,466.27337574706,1525,16.9
Geoffrey Kondogbia,,291.9609425152631,445.94988087387975,13400,148.9
Georg Margreitter,,,443.20758227446345,2064,22.9
Georg Teigl,,,299.1504232694164,407,4.5
George Baldock,,,285.5397082757561,7176,79.8
George Bello,,,345.27847396268453,434,4.8
George Earthy,331.062925170068,,,43,0.5
George Hemmings,,100.0,,9,0.1
George Hirst,272.63806572857453,,,672,7.3999999999999995
George Ilenikhena,464.00988914084155,,,1017,11.3
George Pușcaș,248.64955742166626,,,893,9.9
George Timotheou,,,453.89473684210526,90,1.0
Georges Gope-Fenepej,108.843537414966,,,47,0.5
Georges Mandjeck,,287.59259259259255,,968,10.8
Georges Mikautadze,458.3735629052206,,,4134,45.900000000000006
Georges-Kévin N'Koudou,188.73794406651552,,,256,2.9
Georgi Tunjov,,231.0,,284,3.2
Georginio Rutter,273.42330542774926,,,6171,68.6
Georginio Wijnaldum,274.4710784313726,322.59591033431536,,13410,149.0
Gerard Deulofeu,400.7177014201343,,,9527,105.9
Gerard Gumbau,,437.4515964817274,,11066,122.8
Gerard Martín,,,366.6332874591201,2013,22.3
Gerard Moreno,558.9686121276596,,,17007,188.9
Gerard Piqué,,,379.2021486261567,12831,142.6
Gerard Valentín,,,339.28423752985157,158,1.8
Gerard Yepes,,200.6060606060606,320.0,219,2.4000000000000004
Gerardo Fusco,95.23809523809524,,,15,0.2
Germán Pezzella,,,417.8667541449148,18668,207.4
Germán Sánchez,,,368.0464527226363,7230,80.3
Germán Valera,65.08837868480727,,231.27427237570149,1554,17.3
Gerrit Holtmann,226.83566241494847,,307.204567455194,6424,71.3
Gerson,324.1380640118128,497.1111111111111,,6296,70.0
Gerson Rodrigues,251.7321046621959,,,848,9.4
Gervinho,337.8992299447704,,,6595,73.3
Gerzino Nyamsi,,,333.0097015358145,7450,82.8
Gerónimo Poblete,,210.57971014492756,,1656,18.4
Ghislain Konan,,,341.98519081714414,8164,90.7
Giacomo Bonaventura,370.38503597509964,,,13235,147.1
Giacomo Corona,0.0,,,5,0.1
Giacomo Manzari,81.63265306122449,,,16,0.2
Giacomo Quagliata,,,275.7937578990211,699,7.8
Giacomo Raspadori,360.7056114154583,,,8115,90.1
Giacomo Ricci,,,540.1217329036878,67,0.7
Giacomo Vrioni,219.04761904761904,,,12,0.1
Giampaolo Pazzini,386.82226038219864,,,1744,19.3
Gian Filippo Felicioli,,124.0,,277,3.1
Gian Marco Ferrari,,,369.3457663839876,17965,199.6
Gian-Luca Itter,,,429.9927081077178,1996,22.2
Giancarlo González,,,457.8506018623975,2603,28.900000000000002
Giangiacomo Magnani,,,430.6940728715688,9096,101.1
Gianluca Busio,,301.83986175115206,,4468,49.7
Gianluca Caprari,377.3350219884006,,,13077,145.2
Gianluca Di Chiara,,,362.6828977204917,1007,11.2
Gianluca Frabotta,,,389.21589688506975,799,8.9
Gianluca Gaetano,514.5471310639383,429.97942386831284,,2752,30.5
Gianluca Gaudino,334.16666666666674,,,18,0.2
Gianluca Lapadula,327.6062307204154,,,7761,86.2
Gianluca Mancini,,,383.1059141483877,21954,244.0
Gianluca Scamacca,421.7205921826462,,,6695,74.4
Gianmarco Cangiano,81.63265306122449,,,21,0.2
Giannelli Imbula,,307.95963616370244,,4105,45.5
Gideon Jung,,,340.10660455740543,2712,30.200000000000003
Gideon Mensah,,,362.886255692025,6888,76.4
Gift Orban,388.4508346283927,,,2472,27.5
Gil Bastião Dias,219.0187321056369,,386.460167512799,3009,33.4
Gilles Sunu,253.178196347032,,,655,7.3
Gino Caoki,,,144.44444444444446,7,0.1
Gino Infantino,,279.99999999999994,,96,1.1
Gio Reyna,394.4153077668275,583.9316239316241,,4641,51.5
Giorgi Abuashvili,278.40948601662893,,,288,3.2
Giorgi Gocholeishvili,,347.2711111111111,,676,7.5
Giorgi Kochorashvili,126.31578947368422,,,23,0.3
Giorgi Kvernadze,9.718172983479104,,,63,0.7
Giorgio Altare,,,513.2674758275571,2219,24.700000000000003
Giorgio Chiellini,,,403.74972376780426,7094,78.7
Giorgio Cittadini,,,556.0793397635504,121,1.4
Giorgio Scalvini,,,399.8505689869629,6393,71.0
Giorgos Kyriakopoulos,242.63343115023793,,276.88522497193804,11101,123.3
Giorgos Masouras,273.71384641225916,,,1055,11.7
Giovane,333.1329437758009,,,1404,15.6
Giovani Lo Celso,426.13424869811814,450.7541454189977,,11958,132.7
Giovanni Bonfanti,,,350.7636308401858,583,6.5
Giovanni Crociata,278.2871598639456,,263.2804232804233,331,3.7
Giovanni Di Lorenzo,,,279.61466811509644,23940,266.0
Giovanni Fabbian,302.86194274600103,,,2739,30.4
Giovanni González,,,310.4533250285037,3755,41.8
Giovanni Leoni,,,399.5638218352899,1199,13.3
Giovanni Simeone,354.23984370879197,,,15475,172.0
Giovanni Sio,281.07671293862325,,,2256,25.099999999999998
Giulian Biancone,,,495.62311006273853,2491,27.7
Giuliano Simeone,328.6668090409339,,,3916,43.5
Giulio Donati,,,298.8762132655046,5127,57.0
Giulio Maggiore,191.62234855431265,305.8268564236616,,7727,85.80000000000001
Giuseppe Ambrosino,23.809523809523807,,,38,0.4
Giuseppe Caso,122.93951493640937,,49.523809523809526,471,5.199999999999999
Giuseppe Cuomo,,,466.596453681019,801,8.9
Giuseppe Di Serio,109.82142857142856,,,292,3.2
Giuseppe Mastinu,17.85714285714286,,,32,0.4
Giuseppe Pezzella,,,279.9073364406297,11239,124.8
Giuseppe Rossi,412.62871738733816,,,260,2.9
Gleison Bremer,,,485.6618833050402,15445,171.5
Glen Johnson,,,368.0293630250489,547,6.1
Glen Kamara,,228.2882882882883,,688,7.7
Glenn Murray,313.8348919529861,,,5497,61.199999999999996
Godfred Donsah,,295.1496699182186,,1947,21.599999999999998
Godson Kyeremeh,183.26655925528107,,,344,3.8
Goduine Koyalipou,362.753510340056,,,1132,12.5
Gojko Kačar,,,429.22724994303945,228,2.5
Gonzalo,,,49.523809523809526,13,0.1
Gonzalo Castro,325.9723614592036,576.9307716735472,,5063,56.199999999999996
Gonzalo Escalante,,304.78804798823785,600.0000000000001,10443,116.1
Gonzalo García,404.6741861495557,,,340,3.7
Gonzalo Higuaín,440.60583087759414,,,7043,78.3
Gonzalo Maroni,563.7293650793652,,,181,2.0
Gonzalo Melero,,419.55991671101236,,9084,100.9
Gonzalo Montiel,,,342.87164668211034,3504,38.9
Gonzalo Plata,226.3968490173847,,,2302,25.6
Gonzalo Verdú,,,391.6938302481622,5044,56.0
Gonzalo Villar,,300.1121026569023,,5412,60.1
Gonçalo Guedes,332.00599092275775,,,13691,152.4
Gonçalo Paciência,421.7844153372884,,,4250,47.2
Gonçalo Ramos,577.175381876952,,,3294,36.6
Goran Pandev,326.8915627835885,,,6857,76.2
Gori,350.0,,,9,0.1
Gorka Carrera,0.0,,,14,0.2
Gorka Elustondo,,,499.14553140096626,285,3.2
Gorka Guruzeta,332.14378392831486,,,6596,73.3
Gorka Rivera Alonso,,,78.09523809523807,20,0.2
Grady Diangana,186.5682268692082,,,2178,24.2
Granit Xhaka,338.9884050717384,486.5147092308114,,23767,264.1
Grant Hanley,,,508.2099432658439,4159,46.2
Grant Ranos,261.23759375545086,,,188,2.0
Graziano Pellè,302.124183006536,,,614,6.8
Greg Cunningham,,,393.2397226833317,630,7.0
Gregory van der Wiel,,,449.4131161236424,288,3.2
Grejohn Kyei,328.0848015566128,,,3654,40.6
Grigoris Kastanos,210.13934806020862,371.8822843822844,,5083,56.5
Grischa Prömel,,324.60477191961144,,9662,107.4
Grzegorz Krychowiak,,376.26373626373635,,1641,18.2
Grégoire Defrel,284.89252630450267,,,8426,93.6
Grégory Sertic,,82.77777777777779,475.3936122357175,458,5.1
Guela Doué,76.19047619047619,,382.3477822316995,4959,55.099999999999994
Guessouma Fofana,,152.94652584582113,,1408,15.700000000000001
Guido Burgstaller,277.2974807825308,,,5084,56.5
Guido Carrillo,281.8276444865474,,,6249,69.4
Guido Pizarro,,244.03418803418805,,1755,19.5
Guido Rodríguez,,181.53527298185,436.2834422331391,12364,137.4
Guilherme,335.1875094482238,235.8134243458476,,3583,39.8
Guilherme Arana,,,358.1660484383959,902,10.0
Guilherme Ramos,,,523.1178275722309,948,10.6
Guillaume Gillet,,163.33333333333334,,16,0.2
Guillem Molina,,,327.5207626910413,153,1.7
Guillermo Maripán,,,433.2765832924266,17205,191.2
Gustav Isaksen,284.5105117482583,,,4061,45.1
Gustavo Cabral,,,455.57973018757673,3788,42.1
Gustavo Hamer,,582.1424148606812,,2910,32.3
